№,1,2,3,4,5,6,7,7-2,7-v,8,9,9-2,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,27dp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,"АВЖЕБГД
https://youtu.be/-xnK6M9WQHc",30,"184800
https://youtu.be/LExnSqm7yqw","3
https://youtu.be/ppo1UugWoOQ",93,"33
https://youtu.be/74YlmIFHb80","64
https://youtu.be/Tn-CPYM28fI
https://vk.com/video-216115749_456239927","270
https://youtu.be/NQjbwTl9UkA",,"4200
https://youtu.be/qRomcFzT3Pg","446
https://youtu.be/nlLjzBZisCM",,0,"4096
https://youtu.be/Dg4IBKx-GQU","–10, –15","14
https://youtu.be/e-fQJQNA-l4","13
https://youtu.be/q0e08FWHPrU","25
https://youtu.be/ULPuveOgP-s","3
https://youtu.be/R4OprdzoCLA",206 1984,664 196,61,"112, 120",111,9,"53
https://youtu.be/MAtXNTgPPCY",45718,739 743,470 20,,7 202775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,"ГВДБАЕЖ
https://youtu.be/64yQjtOFYbQ",125,"82400
https://youtu.be/FHz7SY139jc","4
https://youtu.be/PRBf0_qIAFg",82,"57
https://youtu.be/5KmsNnr8Vlk","32
https://youtu.be/ljTdbduAnpU
https://vk.com/video-216115749_456239928","36
https://youtu.be/FSUpSTuE3OQ",,"8
https://youtu.be/oRhAGK5ud3I","513
https://youtu.be/4vNtjQirSWY",,16,"2049
https://youtu.be/GknsrQHutHw","–25, –5","3
https://youtu.be/caD_F9HxCWc","11
https://youtu.be/aesxNK71jPk","10
https://youtu.be/Tg_wY5_AzoU","1
https://youtu.be/lsOlDT5gelk",18021 76432,693 155,82,41 81,80,6,"21
https://youtu.be/XATlhvDVcWo",994,2 342467,997006 6,,4 306622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,"ЖВЕГАБД
https://youtu.be/sWLidhaNliY",57,ГЕРМАНИЯ,"2
https://youtu.be/llag0b2RZgw",8,"11
https://youtu.be/uuVuak6YaEE","512
https://youtu.be/D6Dkl5zfe7U
https://vk.com/video-216115749_456239929","54
https://youtu.be/umienidbJSQ",,"12
https://youtu.be/dITwTx1x4nY","2374
https://youtu.be/Y3CRksgoujc",,44,"800
https://youtu.be/Q5AIjScrrHY",2,"9
https://youtu.be/ZWLXNezA99M","1504
https://youtu.be/zQklixW7BF0","23
https://youtu.be/q-ziCg6qs3M","6
https://youtu.be/g2Wbq960lnw",5952 23562,1 19,18,253,1004640,5,"37
https://youtu.be/x8j2xRvGMBI",224,15535 176399 ,102 9979,,4 487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,"ВДБЕАГЖ
https://youtu.be/F-N1nB9vO9o",253,"54
https://youtu.be/vODM-O7i1gg",10110,7,"68
https://youtu.be/Z8U69i84hhk","4096
https://youtu.be/Nr1PqRRpwBI
https://vk.com/video-216115749_456239930","45
https://youtu.be/y3O8DEwmFzw",,"72
https://youtu.be/uFr8zBmG16w","2626
https://youtu.be/G-XYvEhJh9I",,24,"28
https://youtu.be/BXyMHa8WPzY",20,"2
https://youtu.be/V-gv-ISi4iE","541
https://youtu.be/N0auWw8i5KU","24
https://youtu.be/tlnstCCql0g","3
https://youtu.be/kpMNfzeQbhQ",1851 35616,51 71,98,43 128,20,10,"186
https://youtu.be/ILHGWTgmbxQ",3,16321 315674,223 240,,74 8826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,"ЕЖГБАДВ
https://youtu.be/lLVEDvhhtqc",3,"6
https://youtu.be/VXXLncinSUI",11000,2,"16
https://youtu.be/v1sj6WtcMJM","16
https://youtu.be/Fuav_FY2210
https://vk.com/video-216115749_456239931","150
https://youtu.be/dQcJIdtojQY",,"144
https://youtu.be/-yLb_QJ-gPU","1194
https://youtu.be/hovUnwHmVkQ",,3,"500
https://youtu.be/LrbPklOhbhQ",2,"3
https://youtu.be/3cCwbF_LVGQ","342
https://youtu.be/yzJkHQPsZoM","9
https://youtu.be/U_S2DkDRsJ4","13
https://youtu.be/UiMI7lEyxNs",2278 77072,1349 561,211,53 105,96,6,"384
https://youtu.be/Yp6qyiRQVDk",8,1710 173231,"470 20
https://youtu.be/B_r7kOK3PJo?t=17064",,89 57211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,"7
https://youtu.be/tPvUxoyR6cg",4,"15
https://youtu.be/47ONOOJM04Y","25
https://youtu.be/E_vnsv8EP7Q",3,"35
https://youtu.be/eEFPnPYFEUc","128
https://youtu.be/N0H87iBn_SU
https://youtu.be/fUL1VLYvJNE
https://vk.com/video-216115749_456239932","15
https://youtu.be/I_CmztH9RhA",,"360
https://youtu.be/Rd6ORmCDRIE","1071
https://youtu.be/-u81s5ICRi0",,57,"570
https://youtu.be/fp_xPYVTHWY",12,"1
https://youtu.be/wmsSXMIXwsU","373
https://youtu.be/j6sbA8vJuUI",8,"41
https://youtu.be/eiDWNRi5yXQ",60 133320,"1536 666
https://youtu.be/eeSD8tyuVaw
https://vk.com/video-216115749_456239785",31,47,35 46,7,"390
https://youtu.be/-YXsJcAeYSI",8,2741 309869,107 87634,,5764 2511986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,"ABCDGH
https://youtu.be/5F4Djrphc7w",1,"21
https://youtu.be/oBIhK-8NUwc","23
https://youtu.be/n7GO4wC2sR0",B421,"42
https://youtu.be/KKtBuaqDR6I","2048
https://youtu.be/E8lDH-qzK_4
https://youtu.be/1sTgZvNROj8
https://vk.com/video-216115749_456239933","26
https://youtu.be/t2nztPQ_444",,"3120
https://youtu.be/zES0IsHPbVA","109
https://youtu.be/Wr6R6JO5UdE",,16,"32640
https://youtu.be/aWWAXHrBiOI",1,"4
https://youtu.be/pP9H5foO3lU","443
https://youtu.be/E6VsgDKvDpw",7,"111
https://youtu.be/RAjqgv4qf0s",2 324,"1636 590
https://youtu.be/kxenQZoFmyI
https://vk.com/video-216115749_456239786",36,52 61,26,8,"400
https://youtu.be/dDxROgajh3E",6,2182 293612,"344 53
https://youtu.be/RVOwWpPMnVI",,7 574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,"78
https://youtu.be/6T04kmSroag ",4,"4
https://youtu.be/9RRROs0AYlI","20
https://youtu.be/GGdDz9HcMXE",134,"57
https://youtu.be/7jzP_9VOofA","5625
https://youtu.be/7SFth6Kqg7o
https://vk.com/video-216115749_456239934","19
https://youtu.be/SP1q8jiGNyk",,"4080
https://youtu.be/BmQSVJcCKVM","88
https://youtu.be/0wuZPLmk7I4",,37,"134
https://youtu.be/DyUBP1LV1_A",8,"5
https://youtu.be/KeaibMAec34","4400
https://youtu.be/Ppe9zHCo-uY","15
https://youtu.be/se8H3Nb6o_o","173
https://youtu.be/eC5wJkyBr3s",8 900,"1524 598
https://youtu.be/FNEuoq0U0gw
https://vk.com/video-216115749_456239787",28,31 37,50,5,"1157
https://youtu.be/jNtH7EA4_FY",8,13562 330929,1591 4,,18 2423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,"63
https://youtu.be/0uAYudcFzA8","cab
https://youtu.be/YpZrP_gbOng","47
https://youtu.be/oOgiQ1yOMno","010
https://youtu.be/CxO8qFdGMsY",154,"0
https://youtu.be/ersjhugfPwM ","3
https://youtu.be/-c9-Y9ohjyk
https://vk.com/video-216115749_456239935","39
https://youtu.be/bnxI5Oqu2mQ",,"2520
https://youtu.be/SXLghh3pvcI","42
https://youtu.be/4MabU855pYA",,6,"15000
https://youtu.be/62VvTA67rik",53355,"6
https://youtu.be/hFBf_3MYb28","324
https://youtu.be/BVTrUulL3X8","22
https://youtu.be/Ajpco0ACM9k","26
https://youtu.be/jVFakgFHxgM",803 19082,"137 7
https://youtu.be/qpSVAsalT-I
https://vk.com/video-216115749_456239788",9,6 8,7 19,9,"7
https://youtu.be/pYuwdvcswy8",ZYX,569 571,91 1439,,1200 1486395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,"25
https://youtu.be/BVMK3cWIMv4","bac
https://youtu.be/wM7YmuD0l6A","265675
https://youtu.be/fNYpPnFkyjc","000
https://youtu.be/sluXWGnc0kA",1028,"72
https://youtu.be/GRftMaPPHdI","256
https://youtu.be/cVMRt_EQbrg
https://vk.com/video-216115749_456239936",49,,"6
https://youtu.be/Mmix22a04UA","56
https://youtu.be/LE5XlHEM5h4",,10,"20
https://youtu.be/y_gCgFlnmfc",22,"8
https://youtu.be/nuGQcU8NCeo","133
https://youtu.be/M8JSbAfB0YE","25
https://youtu.be/l_xEWk0iTsk","43
https://youtu.be/9XnSRv-QSMc",6 60,"145 1188
https://youtu.be/bljvNsPpUOg",94,86 87,46 91,5,"3
https://youtu.be/bHWMSk9Mags",ZYXFEDBA,2 210967,75 1438,,19 397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,"18
https://youtu.be/kifStyQPuxE","cba
https://youtu.be/j0FJY3r7dhQ","13512
https://youtu.be/B_r7kOK3PJo?t=1195
https://youtu.be/Rp06pm8Sd7M","110
https://youtu.be/o23Kf8FZ09E",1066,"18
https://youtu.be/BaG7r0pMNfE","1024
https://youtu.be/xFsOWbdyQP0
https://vk.com/video-216115749_456239937",45,,"36
https://youtu.be/8G8WYnr6iRY","1496
https://youtu.be/SqmK0Qhx9UM",,8,"26244
https://youtu.be/iY3Uk0-l6Ws",5355,"11
https://youtu.be/Go5gGS7NvBw","105
https://youtu.be/FkUP0Tlfn7U","18
https://youtu.be/boscpfXwG8M","1
https://youtu.be/DPnoUsko0fc",643 1026,"4507 3066
https://youtu.be/pD5z8rpENlE
https://vk.com/video-216115749_456239789","16
https://youtu.be/B_r7kOK3PJo?t=10682","18
https://youtu.be/B_r7kOK3PJo?t=10682","954
https://youtu.be/B_r7kOK3PJo?t=10682",13,"5
https://youtu.be/B2MAM4r76ms",vkgfZN80,4961 497009,1269 41,,140 73641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,"20
https://youtu.be/JohE4meKTNQ ","bac
https://youtu.be/HafX-idFOj0","1106535
https://youtu.be/qQ6STUVlcMw","100
https://youtu.be/0mv0SO3_Muc",1094,"20
https://youtu.be/TCfDQK5qxPo","3072
https://youtu.be/JpypFjNALuE
https://vk.com/video-216115749_456239938",,,"240
https://youtu.be/tiOo-Pv1HkE","1720
https://youtu.be/dOxxRyxxKMU",,35,"172
https://youtu.be/XkDYnIL3uR8",2288,"240
https://youtu.be/XOK4QxUqr1U","1032
https://youtu.be/S5rRvvnlmgw","23
https://youtu.be/jpDq_gZ5u_w","25
https://youtu.be/4EAh5QpI-04",11572 19044,"1849 1534
https://youtu.be/2ExgXXoGeGo
https://vk.com/video-216115749_456239790",41,24 34,15,6,"43
https://youtu.be/sbHTi_itl8c",xEA541,10013 404258,663 1432,,149 249464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,"83
https://youtu.be/brUmqHBPq2Q","abc
https://youtu.be/97NhvUzIFEA","712936
https://youtu.be/8t1a8RenKG4","1100
https://youtu.be/rWHIGNUbdy8",1497,"62
https://youtu.be/H1vdek0-yk8","64
https://youtu.be/DC3nULu2K6M
https://vk.com/video-216115749_456239939",,,"24
https://youtu.be/2YvJy30WmuY","229
https://youtu.be/inuRFeqbZNI",,68,"293
https://youtu.be/B_r7kOK3PJo?t=6061
https://youtu.be/Z8eN1K01tzc",5533,"3
https://youtu.be/k9PYEG6ZX7Y","2023
https://youtu.be/fEMH7f9CRvk","18
https://youtu.be/ZioZSyqLfSo","406
https://youtu.be/bSMC64TrNp4",72903 10609,"1163 1203
https://youtu.be/t6qgnhvvKcY
https://vk.com/video-216115749_456239791",36,18 33,32 34,10,"393
https://youtu.be/CS4ZT01UlqI",zrqjWRC1,23707 220778,79 11,,101 111215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,"24
https://youtu.be/YBw4LG1M5GU","cba
https://youtu.be/-lJpKWuX7nk","76710
https://youtu.be/JDfBGvsSuwg","0010
https://youtu.be/_LBkA6ylbcc ",1596,"41
https://youtu.be/9r1ehkXkkgk","28
https://youtu.be/QdhTqX7D9os
https://vk.com/video-216115749_456239940",,,"84
https://youtu.be/X3kjas2aYHk","54
https://youtu.be/KPWrPMA_rP0",,164,"26
https://youtu.be/D1JhiMXmTZU",288,"4
https://youtu.be/thTMcfN6KcU","5
https://youtu.be/1_q_YRAJcdo","11
https://youtu.be/YbeREBVp9rA","3654
https://youtu.be/kEhHKXrEBLk",947 3602404,"12609
https://youtu.be/OAiFyA9IoVk
https://vk.com/video-216115749_456239792",63,36 60,57,10,"11
https://youtu.be/OjP_QVVLBq4",14,38621 158934,1261 211,, 8055 1097332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,"34
https://youtu.be/gnp6VssIra4","cab
https://youtu.be/w508vlu8QL4","1864
https://youtu.be/0Mgwk3rkrt8","11
https://youtu.be/GneJsVCsmS0",7030,"5
https://youtu.be/H0I1dZdmJbg","513
https://youtu.be/-grT_QpyQHk
https://vk.com/video-216115749_456239941",,,"1320
https://youtu.be/ACGeMbDfAkg","4757
https://youtu.be/4GNn1jKOpeQ",,31,"63
https://youtu.be/gvaTvfzcPqQ",553,"5
https://youtu.be/nexGJmAJ5kg  ","8
https://youtu.be/gIQXHKLsepQ","14
https://youtu.be/rt3h2TGRZZQ","23750
https://youtu.be/mC1Dn5S1dyw",82 327429025,"1553 2545
https://youtu.be/u98xKmyoB_c
https://vk.com/video-216115749_456239793",76,50 73,35,7,"1
https://youtu.be/asBwE_S_DhY",353204,14216 270732,439 26,, 70 464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,"10
https://youtu.be/subPBE_e5Uk ","acb
https://youtu.be/uduvWotNPN8","237490
https://youtu.be/LxZyeKbo1_k","110
https://youtu.be/jwnjMafALII ",9363,"24
https://youtu.be/44zkgxfeZAM","4
https://youtu.be/AlF6q-ipzAk
https://vk.com/video-216115749_456239942",,,"216
https://youtu.be/-8FOCvocqyQ","787
https://youtu.be/rWo8zQlI0sQ",,38,"136
https://youtu.be/iJigjJwwzMQ",88,"6
https://youtu.be/XGdLWZudKsE","897
https://youtu.be/xTdWJKmj1Kg",6,"3712
https://youtu.be/g3tCa3MjgBU",25708 251775,"721 640
https://youtu.be/YZYSIttSUCM
https://vk.com/video-216115749_456239794",13,14 16,15 17,14,"19
https://youtu.be/26nP6B2TWDY",44701,241 325167,194534 642,,5773 188528728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,"10
https://youtu.be/--_G1tELS0M","yxz
https://youtu.be/7Wh5u9tuRWk","431900
https://youtu.be/ycZ1MQBA8ok","1100
https://youtu.be/VSIRQq2KNNs",9616,"76
https://youtu.be/wUxonYO95gs","65536
https://youtu.be/IfFicjGeByY
https://vk.com/video-216115749_456239943",,,"90
https://youtu.be/8sRPAOPpR-8","754
https://youtu.be/q_nnfgBjqxU",,18,"38
https://youtu.be/bKah-TCqbwY",553355,"7
https://youtu.be/TArBD9vcxgI","757
https://youtu.be/BdlarVNefWI",42,"24552
https://youtu.be/2VXw9WaA8zg ",18058 876157,"383 318
https://youtu.be/7pilGjx9Xvs
https://vk.com/video-216115749_456239795",92,43 44,29,1,"27
https://youtu.be/Z5XOv7P00DI",563,274 318449,194534 140,,27716 264657904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,"49
https://www.youtube.com/watch?v=yIw_Wrxb-uk","zxy
https://youtu.be/bXiYRJLEQYU","2254700
https://youtu.be/RMtyMrM-wX0","14
https://youtu.be/g6FNJ3PLSEg",9656,"10
https://youtu.be/8kfLWfe1dmE","65536
https://youtu.be/eCZB1bm0yLo
https://vk.com/video-216115749_456239944",,,"120
https://youtu.be/AyRk_0aJAS8","401
https://youtu.be/xvtqr1Tez8I",,100,"44
https://youtu.be/duRtCy-IYbM",28,"8
https://youtu.be/ZGTO90W_23Y","231
https://youtu.be/mQxr4BXsiYo",90,"125787
https://youtu.be/-vj1MI6Srso",69374 1120,"2534 1336
https://youtu.be/rV8oNcug89U
https://vk.com/video-216115749_456239796",7,8 23,28,52,"56
https://youtu.be/MHv9zManHyo",993,331 388644,14 120,,128822 6201378713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,"10
https://youtu.be/xXJLCjR3XI0","xzy
https://youtu.be/_u4eJzpzCW8","265675
https://youtu.be/X7L1TmGjpls","1011
https://youtu.be/fUZrTERyoOE",9595,"21
https://youtu.be/ahEf-OCKWjo","489
https://youtu.be/wonIGVlRgwo
https://vk.com/video-216115749_456239945",,,"420
https://youtu.be/sHJM4wAzU5I","4490
https://youtu.be/GPxX6r6rmN8",,29,"37
https://youtu.be/qQhy8Fj-R1g",53,"9
https://youtu.be/XJileMhmIfE","8
https://youtu.be/a3fn_Q8jZuY",36,"5201982
https://youtu.be/kQGm5CMvl7k",2 10496,"2679 1250
https://youtu.be/ny2yKrxfFaw
https://vk.com/video-216115749_456239797",22,11 21 ,18,13,"34
https://youtu.be/iDzz2Bh9QI4",28,434 81412,192 86,,1268077 457260989979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,"28
https://youtu.be/arZLC8Wqclw","zxy
https://youtu.be/VFzr0p1-b8c","1691
https://youtu.be/bTDN4sSBaKs","010
https://youtu.be/eFbwbn3EGC0",3969,"21
https://youtu.be/CMCcxCuWmYI","201
https://youtu.be/sL9PXqAYgtY
https://vk.com/video-216115749_456239946",,,"180
https://youtu.be/byHuvmbGqSQ","1033
https://youtu.be/D3V_I5i9Ts4",,17,"5
https://youtu.be/MD_WZYwBfEQ",2288,"10
https://youtu.be/e6gTNfedSis","8
https://youtu.be/bliIm7CXltI",54,"118
https://youtu.be/OPFRAhetWVc",19 1020,"2569 1028
https://youtu.be/MLTxLILqs0Q
https://vk.com/video-216115749_456239798",38,17 18,16,48,"6
https://youtu.be/v9t9irpiMtM",29,365 604227,196 335,,409 69383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,"17
https://youtu.be/YGmGTpLMDD4","yxz
https://youtu.be/r6QDR5ClGz8","2310
https://youtu.be/P_CZKIKTEEE","011
https://youtu.be/S0dKrbcjBCU",1464,"7
https://youtu.be/b8K9BoUGjck","344
https://youtu.be/DOzvdLb7p7g
https://vk.com/video-216115749_456239947",,,"140
https://youtu.be/bglaapeUboE","984
https://youtu.be/303LqO9YoQc",,11,"28800
https://youtu.be/p0Vt7AQ6yoI",5335,"11
https://youtu.be/6DGAjkgogok",237,3,"23
https://youtu.be/Xg95j0_ir9Q",73 50000,"2443 1155
https://youtu.be/E8_GlHVCi8s
https://vk.com/video-216115749_456239799",29,25 28,24,46,"881
https://youtu.be/r_rDssqc6Io",236815,231 508049,27994 245,,62 129952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,22,"cba
https://youtu.be/2rL9i_TWneQ","26
https://youtu.be/7AR5DMujk1s","101
https://youtu.be/rQc4-Z4u8hQ",4979,"28
https://youtu.be/0DzL_B7GWtM","128
https://youtu.be/3TC_mPPDhFI
https://vk.com/video-216115749_456239948",,,"ОУАУУ
https://youtu.be/l6mOOq0wfgU","1025
https://youtu.be/XQKoHhf7mCU",,5,"152
https://youtu.be/WtIL_sCA-Pk",8,"16384
https://youtu.be/eUkygE2SRsI",368,21,"578
https://youtu.be/VPaRy6WQGVM",252089 8527,"13004
https://youtu.be/x9EvRY-n020
https://vk.com/video-216115749_456239800",14,11 13,10,10,"40
https://youtu.be/06YV51-SKJU",10,"279841 12167
707281 24389
923521 29791",2873 267,,253 725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,"18
https://youtu.be/ODFd9yuZ0GM","abc
https://youtu.be/czFczEYOLT8","112
https://youtu.be/oLCWMGNtgLg","000
https://youtu.be/FatYso3-gKk",9956,"30
https://youtu.be/0AbaiezNbCc","8
https://youtu.be/Hj2oUCCwqYI
https://vk.com/video-216115749_456239950",,,"ЬНЕЕ
https://youtu.be/hpVbY9UTXfk","1114
https://youtu.be/rp9Meh_Ong0",,13,"560
https://youtu.be/UKpV2WSvzT4",55335,"4096
https://youtu.be/iQ-SU526MK4",374,15,"358
https://youtu.be/1xDgDwg_m0E",555 5005,"33480
https://youtu.be/dDAN2zRCYX8
https://vk.com/video-216115749_456239801","27
https://youtu.be/U9P4ujcz7KY","24 26
https://youtu.be/_D55Q4BQWCo","23
https://youtube.com/shorts/fKC0OaPLDmU",41,"18
https://youtu.be/Xnw2r-oYe50",18,"1874161 50653
2825761 68921
3418801 79507",38 2460,,164 16559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,"20
https://youtu.be/n96zZqRGFk0","bac
https://youtu.be/fP0MiIb1yZM","179080
https://youtu.be/OPgAiXNTiAA","1000
https://youtu.be/dOHy_bVwSXU",9926,"52
https://youtu.be/EG771nr_15A","15
https://youtu.be/_cJ5chBoFYI
https://vk.com/video-216115749_456239950",,,"72
https://youtu.be/OmkwPqf21b0","690
https://youtu.be/w-hdz_rp624",,7,"2320
https://youtu.be/X5QdPFpGahQ",228,"64
https://youtu.be/jt9mqh6kNzw",162,12,"8388608
https://youtu.be/VeDS0mR4RzU",3172 12479,"1172 1771
https://youtu.be/eNdSjQgdXhE
https://vk.com/video-216115749_456239802",10,9 22,21,74,"116
https://youtu.be/poZTzEOM1Nk",17,"4879681 103823
7890481 148877",16 1345,,1473 225402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,"108
https://youtu.be/wu_7TuJYeow","bca
https://youtu.be/o72Es-xcA0w","2089
https://youtu.be/AgfvjNMiVS0","00
https://youtu.be/K5g3HOUA3XI",9950,"5
https://youtu.be/B_r7kOK3PJo?t=3130
https://youtu.be/XbkrTuZVY4M","20
https://youtu.be/IlfmHzzED0o
https://vk.com/video-216115749_456239951",,,"36
https://youtu.be/x8Br8ETCEDc","3196
https://youtu.be/zCXP3Ymp86I",,55,"4864
https://youtu.be/XztbWdsg1iw",858,"32
https://youtu.be/LFv2GYLOV5s",>,18,"24
https://youtu.be/_k3NnUzdRQ0",284 7525,"491 2071
https://youtu.be/fVfU0KJgwGY
https://vk.com/video-216115749_456239803",8,4 5,3,57,"80
https://youtu.be/VBAOVcjJkv0",20137,"12117361 205379
13845841 226981
20151121 300763",895 488,,4943497 499327179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,"14
https://youtu.be/jKtVGGAPog0","cab
https://youtu.be/uVoNAKe2BhA","383
https://youtu.be/s95N-q9XoAs","10
https://youtu.be/CWx395fPpsg",9464,"72
https://youtu.be/lZuJxaitupw ","2048
https://youtu.be/jii4cHO4yiY
https://vk.com/video-216115749_456239952",,,"12
https://youtu.be/B8RYeajnu_4","174
https://youtu.be/rfKWIZX-lws",,15,"147
https://youtu.be/01AWAGhMCgc",5,"2048
https://youtu.be/ccBOPQpNla0",>,16,36,810 15893,"1263 2489
https://youtu.be/bu7PFzWUn9I
https://vk.com/video-216115749_456239804",12,4 10 ,9,172,"83
https://youtu.be/7OuIjnpPEY4",19857,"62742241 704969
88529281 912673",1 644,,69572 1861699580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,"78
https://youtu.be/B6B-jLan5IY","cba
https://youtu.be/qtatE-a3Dgk","375
https://youtu.be/9Rt8DEj7QkE","111
https://youtu.be/FN13IhVcpmY",9676,"42
https://youtu.be/7LpfhoXGjYk","288
https://youtu.be/jYPIhOlTeDI
https://youtube.com/shorts/yMIGLEFX1K0
https://vk.com/video-216115749_456239953",,,"6
https://youtu.be/AfKTUL6rhZo","133
https://youtu.be/CJzjeOdTqF4",,9,"512
https://youtu.be/Zkvr45lHazs
https://youtu.be/sKNg_pNL4Xc",338,"64
https://youtu.be/iiP8YaHDm-A",<,7,"8266912626
https://youtu.be/TD1sz8twGyg",12990 3630,"1204 2562
https://youtu.be/2wmGwvz_XmI
https://vk.com/video-216115749_456239805",6,2 7,1,130,"79
https://youtu.be/78p3JCk3YSM",40451,"112550881 1092727
131079601 1225043
141158161 1295029",1957 4095,,352 347265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,"18
https://youtu.be/S7lGBhDe0JQ","acb
https://youtu.be/70HJDqZ4-nk","420
https://youtu.be/tEkLE-xCxh0","0110
https://youtu.be/x8NswWrmfOQ",1194,"159
https://youtu.be/cj5KTyiEgNU","32
https://youtu.be/8-2Js8fAOyc
https://vk.com/video-216115749_456239954",,,"480
https://youtu.be/plbetJQGcUk","184
https://youtu.be/PhEzErgijak",,11,"12
https://youtu.be/RUvSwKlYOf4",388,"8192
https://youtu.be/3gnp2krL2sc",<,12,"347280657273
https://youtu.be/R7x5K_pTN5Y",8654 14828,"653 2809
https://youtu.be/BWyGwWgVXcM
https://vk.com/video-216115749_456239806",2,11 10,13,340,"254
https://youtu.be/LSoBG1T-0KE",75,"260144641 2048383
294499921 2248091
352275361 2571353",2108 9,,123 7079857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,"66
https://youtu.be/JV8N9qQQrPA","yzx
https://youtu.be/72kvrEvh8vA","0
https://youtu.be/I91_rbWm_n4","100
https://youtu.be/A5S3rDpwA-4",1498,"64
https://youtu.be/WYzFs2D4naA",4,,,"144
https://youtu.be/9IeOsa8StXo","531
https://youtu.be/piuVBqRoLqo ",,5,"64
https://youtu.be/NxZ6IAHLV84",28,"64
https://youtu.be/udK-3dq3R_I",8,8,"240757875872
https://youtu.be/12tOwqxFWuY",42 5995,"702 2869
https://youtu.be/orNPr1eJ4Ag
https://vk.com/video-216115749_456239807",26,14 15,4,272,"119
https://youtu.be/w9z4HZhH9X0",75,"373301041 2685619
492884401 3307949
519885601 3442951",400 13,,236 7469582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,"11
https://youtu.be/qjQBPiH7-Jo","yxz
https://youtu.be/thhkYwFMe7Y","490
https://youtu.be/boDUhLfWa40","000
https://youtu.be/BI3WxaA5L1s","120
https://youtu.be/ZjBPR4USHGQ","170
https://youtu.be/XfToZsQ_zfA",32,,,"72
https://youtu.be/BH0nCFgLn3I","10
https://youtu.be/7a95KC1W7rE",,19,"225
https://youtu.be/lDN9UEzh_b0",533555,"32
https://youtu.be/IgqES7M8SPA",0,18,"36002376306
https://youtu.be/jqtjOzAoSDo",7285 6391,"809 2695
https://youtu.be/h2kNtNx_acE
https://vk.com/video-216115749_456239808",39,13 2,2,8,"343
https://youtu.be/1-q1iXv5JoU",31348,"607573201 3869893
705911761 4330747",80 77,,384 8627816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,"118
https://youtu.be/N62JLfLPoiA","wxzy
https://youtu.be/XTVY4kUUnOg","60065
https://youtu.be/bJ-JVfGG2hk
https://youtube.com/shorts/dTDBQooyw78","1000
https://youtu.be/aRrsxARfTXA","5
https://youtu.be/LNiVvDHBSo0","317
https://youtu.be/hX5ijomoLQc (замена)","31
https://youtu.be/YfgMuoLpqdA 
https://vk.com/video-216115749_456239955",,,"24
https://youtu.be/K8NZ0bIYU-E","41
https://youtu.be/JZjSgZpV7rU",,24,"13
https://youtu.be/EZJp7jDTAQI",555,"25
https://youtu.be/fkibDL_xEXM",12,42,"997001999
https://youtu.be/lSMikhi8XSU",1843 9253,1063 124,11,15 29,57,66,"33
https://youtu.be/UwSQg5fI2V8",2198,"405405 135135 
530145 176715 
592515 197505 
626535 208845",4896 17,,191 3975706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
